#  E (eV)   dos(E)     Int dos(E)
 -5.736  0.0000E+00  0.0000E+00
 -5.726  0.5844E-03  0.5844E-05
 -5.716  0.2337E-02  0.2922E-04
 -5.706  0.5259E-02  0.8181E-04
 -5.696  0.9350E-02  0.1753E-03
 -5.686  0.1461E-01  0.3214E-03
 -5.676  0.2104E-01  0.5318E-03
 -5.666  0.2863E-01  0.8181E-03
 -5.656  0.3740E-01  0.1192E-02
 -5.646  0.4733E-01  0.1665E-02
 -5.636  0.1171E+00  0.2837E-02
 -5.626  0.1378E+00  0.4215E-02
 -5.616  0.9795E-01  0.5194E-02
 -5.606  0.8921E-01  0.6086E-02
 -5.596  0.9406E-01  0.7027E-02
 -5.586  0.9902E-01  0.8017E-02
 -5.576  0.1041E+00  0.9058E-02
 -5.566  0.1092E+00  0.1015E-01
 -5.556  0.1145E+00  0.1129E-01
 -5.546  0.1198E+00  0.1249E-01
 -5.536  0.1253E+00  0.1375E-01
 -5.526  0.1308E+00  0.1505E-01
 -5.516  0.1365E+00  0.1642E-01
 -5.506  0.1423E+00  0.1784E-01
 -5.496  0.1481E+00  0.1932E-01
 -5.486  0.1566E+00  0.2089E-01
 -5.476  0.1651E+00  0.2254E-01
 -5.466  0.1726E+00  0.2427E-01
 -5.456  0.1791E+00  0.2606E-01
 -5.446  0.1845E+00  0.2790E-01
 -5.436  0.1890E+00  0.2979E-01
 -5.426  0.1925E+00  0.3172E-01
 -5.416  0.1951E+00  0.3367E-01
 -5.406  0.1966E+00  0.3564E-01
 -5.396  0.1908E+00  0.3754E-01
 -5.386  0.1860E+00  0.3940E-01
 -5.376  0.1858E+00  0.4126E-01
 -5.366  0.1888E+00  0.4315E-01
 -5.356  0.1918E+00  0.4507E-01
 -5.346  0.1950E+00  0.4702E-01
 -5.336  0.1983E+00  0.4900E-01
 -5.326  0.2017E+00  0.5102E-01
 -5.316  0.2051E+00  0.5307E-01
 -5.306  0.2087E+00  0.5516E-01
 -5.296  0.2123E+00  0.5728E-01
 -5.286  0.2160E+00  0.5944E-01
 -5.276  0.2199E+00  0.6164E-01
 -5.266  0.2238E+00  0.6387E-01
 -5.256  0.2278E+00  0.6615E-01
 -5.246  0.2318E+00  0.6847E-01
 -5.236  0.2359E+00  0.7083E-01
 -5.226  0.2400E+00  0.7323E-01
 -5.216  0.2441E+00  0.7567E-01
 -5.206  0.2483E+00  0.7815E-01
 -5.196  0.2524E+00  0.8068E-01
 -5.186  0.2565E+00  0.8324E-01
 -5.176  0.2607E+00  0.8585E-01
 -5.166  0.2648E+00  0.8850E-01
 -5.156  0.2677E+00  0.9118E-01
 -5.146  0.2693E+00  0.9387E-01
 -5.136  0.2696E+00  0.9656E-01
 -5.126  0.2712E+00  0.9928E-01
 -5.116  0.2733E+00  0.1020E+00
 -5.106  0.2754E+00  0.1048E+00
 -5.096  0.2774E+00  0.1075E+00
 -5.086  0.2793E+00  0.1103E+00
 -5.076  0.2812E+00  0.1131E+00
 -5.066  0.2831E+00  0.1160E+00
 -5.056  0.2849E+00  0.1188E+00
 -5.046  0.2866E+00  0.1217E+00
 -5.036  0.2883E+00  0.1246E+00
 -5.026  0.2900E+00  0.1275E+00
 -5.016  0.2913E+00  0.1304E+00
 -5.006  0.2920E+00  0.1333E+00
 -4.996  0.2930E+00  0.1362E+00
 -4.986  0.2943E+00  0.1392E+00
 -4.976  0.2958E+00  0.1421E+00
 -4.966  0.2977E+00  0.1451E+00
 -4.956  0.2997E+00  0.1481E+00
 -4.946  0.3021E+00  0.1511E+00
 -4.936  0.3048E+00  0.1542E+00
 -4.926  0.3076E+00  0.1573E+00
 -4.916  0.3107E+00  0.1604E+00
 -4.906  0.3139E+00  0.1635E+00
 -4.896  0.3171E+00  0.1667E+00
 -4.886  0.3203E+00  0.1699E+00
 -4.876  0.3235E+00  0.1731E+00
 -4.866  0.3268E+00  0.1764E+00
 -4.856  0.3301E+00  0.1797E+00
 -4.846  0.3334E+00  0.1830E+00
 -4.836  0.3367E+00  0.1864E+00
 -4.826  0.3401E+00  0.1898E+00
 -4.816  0.3434E+00  0.1932E+00
 -4.806  0.3468E+00  0.1967E+00
 -4.796  0.3502E+00  0.2002E+00
 -4.786  0.3536E+00  0.2037E+00
 -4.776  0.3569E+00  0.2073E+00
 -4.766  0.3598E+00  0.2109E+00
 -4.756  0.3623E+00  0.2145E+00
 -4.746  0.3644E+00  0.2182E+00
 -4.736  0.3661E+00  0.2218E+00
 -4.726  0.3674E+00  0.2255E+00
 -4.716  0.3683E+00  0.2292E+00
 -4.706  0.3689E+00  0.2329E+00
 -4.696  0.3690E+00  0.2366E+00
 -4.686  0.3694E+00  0.2402E+00
 -4.676  0.3726E+00  0.2440E+00
 -4.666  0.3745E+00  0.2477E+00
 -4.656  0.3765E+00  0.2515E+00
 -4.646  0.3784E+00  0.2553E+00
 -4.636  0.3804E+00  0.2591E+00
 -4.626  0.3823E+00  0.2629E+00
 -4.616  0.3843E+00  0.2667E+00
 -4.606  0.3863E+00  0.2706E+00
 -4.596  0.3883E+00  0.2745E+00
 -4.586  0.3903E+00  0.2784E+00
 -4.576  0.3923E+00  0.2823E+00
 -4.566  0.3943E+00  0.2862E+00
 -4.556  0.3964E+00  0.2902E+00
 -4.546  0.3984E+00  0.2942E+00
 -4.536  0.4004E+00  0.2982E+00
 -4.526  0.4024E+00  0.3022E+00
 -4.516  0.4043E+00  0.3063E+00
 -4.506  0.4062E+00  0.3103E+00
 -4.496  0.4082E+00  0.3144E+00
 -4.486  0.4101E+00  0.3185E+00
 -4.476  0.4118E+00  0.3226E+00
 -4.466  0.4135E+00  0.3268E+00
 -4.456  0.4155E+00  0.3309E+00
 -4.446  0.4177E+00  0.3351E+00
 -4.436  0.4201E+00  0.3393E+00
 -4.426  0.4227E+00  0.3435E+00
 -4.416  0.4253E+00  0.3478E+00
 -4.406  0.4280E+00  0.3521E+00
 -4.396  0.4308E+00  0.3564E+00
 -4.386  0.4336E+00  0.3607E+00
 -4.376  0.4365E+00  0.3651E+00
 -4.366  0.4394E+00  0.3695E+00
 -4.356  0.4425E+00  0.3739E+00
 -4.346  0.4455E+00  0.3783E+00
 -4.336  0.4486E+00  0.3828E+00
 -4.326  0.4518E+00  0.3873E+00
 -4.316  0.4549E+00  0.3919E+00
 -4.306  0.4581E+00  0.3965E+00
 -4.296  0.4613E+00  0.4011E+00
 -4.286  0.4646E+00  0.4057E+00
 -4.276  0.4679E+00  0.4104E+00
 -4.266  0.4712E+00  0.4151E+00
 -4.256  0.4745E+00  0.4199E+00
 -4.246  0.4772E+00  0.4246E+00
 -4.236  0.4792E+00  0.4294E+00
 -4.226  0.4808E+00  0.4342E+00
 -4.216  0.4821E+00  0.4391E+00
 -4.206  0.4840E+00  0.4439E+00
 -4.196  0.4860E+00  0.4488E+00
 -4.186  0.4880E+00  0.4536E+00
 -4.176  0.4899E+00  0.4585E+00
 -4.166  0.4917E+00  0.4635E+00
 -4.156  0.4935E+00  0.4684E+00
 -4.146  0.4952E+00  0.4733E+00
 -4.136  0.4968E+00  0.4783E+00
 -4.126  0.4984E+00  0.4833E+00
 -4.116  0.5002E+00  0.4883E+00
 -4.106  0.5023E+00  0.4933E+00
 -4.096  0.5048E+00  0.4984E+00
 -4.086  0.5075E+00  0.5034E+00
 -4.076  0.5106E+00  0.5086E+00
 -4.066  0.5139E+00  0.5137E+00
 -4.056  0.5166E+00  0.5189E+00
 -4.046  0.5193E+00  0.5240E+00
 -4.036  0.5221E+00  0.5293E+00
 -4.026  0.5249E+00  0.5345E+00
 -4.016  0.5278E+00  0.5398E+00
 -4.006  0.5307E+00  0.5451E+00
 -3.996  0.5336E+00  0.5504E+00
 -3.986  0.5365E+00  0.5558E+00
 -3.976  0.5395E+00  0.5612E+00
 -3.966  0.5424E+00  0.5666E+00
 -3.956  0.5454E+00  0.5721E+00
 -3.946  0.5484E+00  0.5776E+00
 -3.936  0.5514E+00  0.5831E+00
 -3.926  0.5544E+00  0.5886E+00
 -3.916  0.5575E+00  0.5942E+00
